delta_x,delta_y
-0.4285241892599158,-1.1312913246154508
-0.46188343860555997,-0.9367624517230236
-0.4019429494867862,-1.0167492942542355
-0.4030078140513023,-1.1307976814046892
-0.3565098725814537,-0.9606518620500604
-0.4729247953443155,-1.2278187263768088
-0.3933584738103137,-1.053458381473288
-0.6111562041306511,-1.0629228144636702
-0.7127346225286436,-1.1595914124860616
-0.4791357170515614,-1.197548945723646
-0.4800456020498386,-1.0642878686720272
-0.4273116487502298,-1.1544641465172345
-0.5612983928451643,-1.1551932618104808
-0.5750764380769734,-1.1085492825257364
-0.4608904761047552,-1.2687754771602484
-0.5271102191509048,-1.249906005507588
-0.6481042402749456,-1.2304470975349808
-0.7110795199881155,-1.1111646494211858
-0.6093105132516006,-1.0946904343676491
-0.6417975466658878,-1.2627808983033502
-0.5651349062286797,-1.3947011014975246
-0.7164780303336228,-1.211177338459323
-0.6749043143330252,-1.3282865752666184
-0.6906345967933019,-1.197840477436024
